firstname,lastname,ranking,age,year
Andre,Agassi,91,16,1986
Michael,Chang,30,16,1988
Bjorn,Borg,18,17,1973
Billy,Martin,36,17,1974
Jimmy,Brown,97,17,1983
Pat,Cash,44,17,1983
Guy,Forget,70,17,1983
Boris,Becker,66,17,1984
Aaron,Krickstein,12,17,1984
Kent,Carlsson,50,17,1985
Andre,Agassi,25,17,1987
Pete,Sampras,97,17,1988
Michael,Chang,5,17,1989
Lleyton,Hewitt,100,17,1998
Richard,Gasquet,93,17,2003
Rafael,Nadal,49,17,2003
Buster C,Mottram,33,18,1973
Bjorn,Borg,3,18,1974
Billy,Martin,67,18,1975
John,Mcenroe,21,18,1977
Ivan,Lendl,74,18,1978
Yannick,Noah,49,18,1978
Jimmy,Arias,20,18,1983
Henrik,Sundstrom,82,18,1983
Mats,Wilander,7,18,1983
Horacio,De La Pena,89,18,1984
Stefan,Edberg,20,18,1984
Boris,Becker,6,18,1985
Aaron,Krickstein,29,18,1985
Leonardo,Lavalle,87,18,1985
Thomas,Muster,98,18,1985
Bruno,Oresar,82,18,1985
Jaime,Yzaga,45,18,1985
Kent,Carlsson,13,18,1986
Horst,Skoff,42,18,1986
Guillermo,Perez Roldan,19,18,1987
Andre,Agassi,3,18,1988
Jim,Courier,43,18,1988
Franco,Davin,94,18,1988
Diego,Nargiso,90,18,1988
Jason,Stoltenberg,70,18,1988
Sergi,Bruguera,26,18,1989
Goran,Ivanisevic,40,18,1989
Pete,Sampras,81,18,1989
Michael,Chang,15,18,1990
Fabrice,Santoro,62,18,1990
Alex,Corretja,86,18,1992
Thomas,Enqvist,63,18,1992
Andrei,Medvedev,24,18,1992
Dominik,Hrbaty,78,18,1996
Marat,Safin,49,18,1998
Roger,Federer,64,18,1999
Lleyton,Hewitt,25,18,1999
Andreas,Vinciguerra,98,18,1999
Guillermo,Coria,88,18,2000
Mario,Ancic,89,18,2002
Rafael,Nadal,51,18,2004
Novak,Djokovic,78,18,2005
Andy,Murray,64,18,2005
Juan Martin,Del Potro,92,18,2006
Donald,Young,100,18,2007
Alexander,Zverev,83,18,2015
Paul,Kronk,97,19,1973
John,Lloyd,100,19,1973
Buster C,Mottram,55,19,1974
Bjorn,Borg,3,19,1975
Billy,Martin,62,19,1976
Heinz,Gunthardt,55,19,1978
John,Mcenroe,4,19,1978
Eliot,Teltscher,42,19,1978
Tim,Wilkison,54,19,1978
Fritz,Buehning,81,19,1979
